1,q7/P5k1/K7/8/8/8/8/8 b - - 3 61,0-1
1,q7/P4k2/K7/8/8/8/8/8 w - - 4 62,0-1
1,q7/P4k2/1K6/8/8/8/8/8 b - - 5 62,0-1
1,q7/P3k3/1K6/8/8/8/8/8 w - - 6 63,0-1
1,q7/P3k3/K7/8/8/8/8/8 b - - 7 63,0-1
1,q2k4/P7/K7/8/8/8/8/8 w - - 8 64,0-1
1,q2k4/P7/1K6/8/8/8/8/8 b - - 9 64,0-1
1,q1k5/P7/1K6/8/8/8/8/8 w - - 10 65,0-1
1,q1k5/P7/K7/8/8/8/8/8 b - - 11 65,0-1
1,q7/P1k5/K7/8/8/8/8/8 w - - 12 66,0-1
1,q7/P1k5/8/K7/8/8/8/8 b - - 13 66,0-1
1,q7/Pk6/8/K7/8/8/8/8 w - - 14 67,0-1
1,q7/Pk6/8/1K6/8/8/8/8 b - - 15 67,0-1
1,8/qk6/8/1K6/8/8/8/8 w - - 0 68,0-1
1,8/qk6/8/8/2K5/8/8/8 b - - 1 68,0-1
1,1q6/1k6/8/8/2K5/8/8/8 w - - 2 69,0-1
1,1q6/1k6/8/1K6/8/8/8/8 b - - 3 69,0-1
1,2q5/1k6/8/1K6/8/8/8/8 w - - 4 70,0-1
1,2q5/1k6/8/8/K7/8/8/8 b - - 5 70,0-1
1,8/1kq5/8/8/K7/8/8/8 w - - 6 71,0-1
1,3b4/2kP4/5p2/2NK1P2/8/3P4/8/8 w - - 0 49,1-0
1,3b4/3k4/4Np2/3K1P2/8/3P4/8/8 w - - 0 50,1-0
1,3N4/3k4/5p2/3K1P2/8/3P4/8/8 b - - 0 50,1-0
1,3k4/8/5p2/3K1P2/8/3P4/8/8 w - - 0 51,1-0
1,3k4/8/4Kp2/5P2/8/3P4/8/8 b - - 1 51,1-0
1,4k3/8/4Kp2/5P2/8/3P4/8/8 w - - 2 52,1-0
1,4k3/8/5K2/5P2/8/3P4/8/8 b - - 0 52,1-0
1,5k2/8/5K2/5P2/8/3P4/8/8 w - - 1 53,1-0
1,5k2/8/4K3/5P2/8/3P4/8/8 b - - 2 53,1-0
1,4k3/8/4K3/5P2/8/3P4/8/8 w - - 3 54,1-0
